Assistant 1,Assistant 2,Away Team Initials,Away Team Name,City,Continent,Country,Date,Home Team Initials,Home Team Name,Match ID,Referee,Round ID,Stadium,Stage,Time,Win conditions,Year,Attendance,Away Team Goals,Half-time Away Goals,Half-time Home Goals,Home Team Goals,Number of Records
CRISTOPHE Henry (BEL),REGO Gilberto (BRA),MEX,Mexico,Montevideo,South America,Uruguay,7/13/1930,FRA,France,1096,LOMBARDI Domingo (URU),201,Pocitos,Group 1, 15:00,,1930,4444,1,0,3,4,1
MATEUCCI Francisco (URU),WARNKEN Alberto (CHI),BEL,Belgium,Montevideo,South America,Uruguay,7/13/1930,USA,USA,1090,MACIAS Jose (ARG),201,Parque Central,Group 4, 15:00,,1930,18346,0,0,2,3,1
VALLARINO Ricardo (URU),BALWAY Thomas (FRA),BRA,Brazil,Montevideo,South America,Uruguay,7/14/1930,YUG,Yugoslavia,1093,TEJADA Anibal (URU),201,Parque Central,Group 2, 12:45,,1930,24059,1,0,2,2,1
LANGENUS Jean (BEL),MATEUCCI Francisco (URU),PER,Peru,Montevideo,South America,Uruguay,7/14/1930,ROU,Romania,1098,WARNKEN Alberto (CHI),201,Pocitos,Group 3, 14:50,,1930,2549,1,0,1,3,1
SAUCEDO Ulises (BOL),RADULESCU Constantin (ROU),FRA,France,Montevideo,South America,Uruguay,7/15/1930,ARG,Argentina,1085,REGO Gilberto (BRA),201,Parque Central,Group 1, 16:00,,1930,23409,0,0,0,1,1
APHESTEGUY Martin (URU),LANGENUS Jean (BEL),MEX,Mexico,Montevideo,South America,Uruguay,7/16/1930,CHI,Chile,1095,CRISTOPHE Henry (BEL),201,Parque Central,Group 1, 14:45,,1930,9249,0,0,1,3,1
LOMBARDI Domingo (URU),WARNKEN Alberto (CHI),BOL,Bolivia,Montevideo,South America,Uruguay,7/17/1930,YUG,Yugoslavia,1092,MATEUCCI Francisco (URU),201,Parque Central,Group 2, 12:45,,1930,18306,0,0,0,4,1
APHESTEGUY Martin (URU),TEJADA Anibal (URU),PAR,Paraguay,Montevideo,South America,Uruguay,7/17/1930,USA,USA,1097,MACIAS Jose (ARG),201,Parque Central,Group 4, 14:45,,1930,18306,0,0,2,3,1
BALWAY Thomas (FRA),CRISTOPHE Henry (BEL),PER,Peru,Montevideo,South America,Uruguay,7/18/1930,URU,Uruguay,1099,LANGENUS Jean (BEL),201,Estadio Centenario,Group 3, 14:30,,1930,57735,0,0,0,1,1
LOMBARDI Domingo (URU),REGO Gilberto (BRA),FRA,France,Montevideo,South America,Uruguay,7/19/1930,CHI,Chile,1094,TEJADA Anibal (URU),201,Estadio Centenario,Group 1, 12:50,,1930,2000,0,0,0,1,1
ALONSO Gualberto (URU),RADULESCU Constantin (ROU),MEX,Mexico,Montevideo,South America,Uruguay,7/19/1930,ARG,Argentina,1086,SAUCEDO Ulises (BOL),201,Estadio Centenario,Group 1, 15:00,,1930,42100,3,1,3,6,1
